,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
11,1911,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.267532788915132
12,1912,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.183715613603454
13,1913,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.144313826667448
14,1914,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.111414272380998
15,1915,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.356738313179335
16,1916,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.420096271583352
17,1917,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.356932879678808
18,1918,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.189679101673862
19,1919,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.232890768987984
20,1920,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.252579415801762
21,1921,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.083871273029224
22,1922,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.10355885472348
23,1923,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.244303230057414
24,1924,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.260624909567376
25,1925,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.257624853305062
26,1926,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.403859981463052
27,1927,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.37330398046849
28,1928,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.147887172583113
29,1929,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.264211278303149
30,1930,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.375664441442053
31,1931,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.27205137551737
32,1932,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.34862092302218
33,1933,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.139747575170022
34,1934,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.128702432585207
35,1935,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.260765935902363
36,1936,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.415465680332098
37,1937,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.416194090163978
38,1938,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.340468886757273
39,1939,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.299035021724386
40,1940,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.27849112238426
41,1941,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.332003315249848
42,1942,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.26000624497548
43,1943,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.289389959041257
44,1944,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.15638045260704
45,1945,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.229441133420679
46,1946,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.437721868579663
